x,y,class
-3.053,0.787,1
-2.535,1.088,1
-2.667,0.611,1
-2.598,1.323,1
2.173,0.864,1
0.606,0.742,1
-1.686,0.854,1
2.307,1.196,1
0.52,1.155,1
-0.484,0.985,1
-1.857,1.337,1
-3.46,0.868,1
-0.324,1.237,1
0.319,1.149,1
0.714,1.399,1
-2.184,1.529,1
0.128,1.446,1
2.357,0.693,1
0.605,1.402,1
-0.77,1.401,1
1.199,1.135,1
-4.58,1.124,1
2.693,1.038,1
-1.969,0.901,1
0.597,1.031,1
-3.557,1.064,1
4.359,1.041,1
-4.393,1.371,1
-3.509,0.876,1
-0.494,0.743,1
2.767,1.281,1
0.926,1.275,1
0.161,0.716,1
3.213,0.846,1
3.715,1.502,1
3.889,0.644,1
-1.021,1.156,1
-3.313,1.288,1
-0.105,0.834,1
-4.164,1.255,1
3.566,1.288,1
-0.949,0.628,1
-2.198,1.493,1
0.898,1.26,1
-2.996,0.668,1
2.913,1.001,1
-0.088,0.893,1
-3.48,1.211,1
-0.642,0.825,1
1.87,0.805,1
-0.952,1.485,1
-2.33,0.901,1
-0.39,1.052,1
4.044,1.107,1
1.593,1.549,1
-1.297,0.868,1
-1.516,1.203,1
-3.205,1.021,1
-1.776,1.122,1
-1.997,1.535,1
-4.031,0.632,1
3.695,1.299,1
-0.956,1.342,1
0.106,1.458,1
-0.767,1.219,1
-3.211,1.33,1
3.486,1.483,1
-0.581,1.541,1
-1.476,0.938,1
3.407,1.408,1
-2.11,1.324,1
-0.363,0.971,1
1.96,0.668,1
-0.857,0.981,1
-3.693,0.845,1
-0.163,1.078,1
-3.014,1.023,1
-3.621,0.854,1
-1.842,0.731,1
3.689,0.96,1
-1.173,0.894,1
-0.394,0.854,1
-2.588,0.67,1
-1.131,1.172,1
2.051,1.406,1
-1.009,0.669,1
-4.418,0.845,1
1.451,0.751,1
-2.588,0.978,1
2.061,0.894,1
0.667,1.17,1
3.679,1.513,1
4.367,0.964,1
3.106,0.746,1
-1.707,1.024,1
3.86,0.743,1
3.876,1.023,1
2.31,1.506,1
-1.027,1.042,1
2.032,0.653,1
-1.256,1.459,1
-1.52,1.517,1
1.011,0.822,1
-3.825,0.975,1
0.767,0.768,1
2.72,0.655,1
1.578,0.824,1
-1.978,1.305,1
3.468,1.542,1
-2.352,1.554,1
-3.453,1.371,1
-2.643,0.616,1
1.373,0.827,1
0.956,0.744,1
-3.831,1.061,1
3.003,1.04,1
2.012,0.927,1
3.975,1.353,1
0.404,1.233,1
-2.932,0.79,1
1.747,6.686999999999999,2
0.219,4.565,2
2.688,3.117,2
2.133,1.5110000000000001,2
1.824,3.502,2
1.923,2.126,2
0.973,4.764,2
0.668,6.7059999999999995,2
0.342,3.524,2
3.114,2.7539999999999996,2
0.876,9.407,2
0.796,7.824999999999999,2
2.32,3.0549999999999997,2
1.078,5.616,2
1.585,6.14,2
2.943,4.237,2
0.332,2.6399999999999997,2
2.468,5.452,2
1.476,5.137,2
0.571,8.419,2
0.749,4.19,2
2.514,2.299,2
1.243,3.9160000000000004,2
1.129,9.221,2
1.928,5.346,2
1.788,2.457,2
0.293,3.3470000000000004,2
2.405,9.302,2
1.88,6.33,2
1.001,6.710000000000001,2
2.999,3.035,2
2.298,1.52,2
1.724,7.577,2
1.493,1.9380000000000002,2
0.665,6.131,2
2.501,3.167,2
2.397,4.931,2
1.063,5.543,2
1.664,2.296,2
3.159,3.941,2
2.683,2.707,2
1.971,5.405,2
1.291,7.776,2
0.91,7.606,2
1.343,4.151,2
1.567,4.181,2
1.4,7.026,2
1.875,8.764,2
1.961,5.616,2
2.256,9.313,2
0.446,8.97,2
2.515,8.402,2
3.177,3.989,2
2.244,4.745,2
0.779,4.056,2
1.12,3.787,2
0.888,7.823,2
1.695,1.734,2
1.342,3.936,2
1.855,7.273999999999999,2
2.366,4.188,2
1.441,6.151,2
0.228,1.7850000000000001,2
2.602,4.393,2
2.259,1.9980000000000002,2
1.86,7.025,2
1.804,7.568,2
2.341,9.013,2
2.601,3.2110000000000003,2
1.712,8.793,2
1.389,3.62,2
1.811,2.222,2
1.158,3.7249999999999996,2
2.673,8.97,2
2.405,4.105,2
0.848,9.385,2
2.317,4.77,2
2.501,1.6680000000000001,2
1.41,6.952,2
0.543,4.144,2
0.707,7.083,2
0.393,3.449,2
1.211,7.803000000000001,2
0.468,5.502,2
0.284,3.1029999999999998,2
1.803,2.8949999999999996,2
0.621,8.915,2
3.024,6.022,2
1.054,4.103,2
3.135,1.5710000000000002,2
0.769,8.532,2
1.562,2.795,2
1.899,7.808999999999999,2
0.844,2.242,2
1.434,9.206,2
3.058,4.295,2
1.033,5.119,2
1.159,3.8890000000000002,2
1.93,4.292,2
2.286,9.383,2
3.091,8.519,2
1.141,6.564,2
0.324,7.837999999999999,2
0.687,2.5069999999999997,2
1.008,2.995,2
2.69,9.224,2
0.673,7.737,2
2.571,6.441,2
0.76,3.5679999999999996,2
2.015,5.243,2
0.581,7.196,2
1.107,8.745,2
0.372,7.936999999999999,2
1.678,3.3449999999999998,2
1.786,5.923,2
0.484,5.479,2
0.454,3.9000000000000004,2
2.958,7.631,2
3.138,1.7890000000000001,2
1.56,7.542,2
0.627,6.7940000000000005,2
3.003,6.7059999999999995,2
0.454,3.4400000000000004,2
2.212,4.57,2
1.422,4.969,2
2.772,8.807,2
0.851,4.306,2
2.25,6.091,2
1.269,9.259,2
0.382,1.745,2
0.554,1.5510000000000002,2
1.351,7.927,2
2.212,5.878,2
1.006,9.161,2
0.494,5.672,2
2.467,3.0700000000000003,2
2.855,3.779,2
1.113,1.5590000000000002,2
3.167,2.864,2
2.958,9.206,2
2.346,6.05,2
3.093,4.924,2
1.804,2.96,2
1.343,2.087,2
2.676,7.923,2
0.759,2.41,2
1.106,8.77,2
0.773,4.942,2
2.149,9.132,2
1.253,3.9130000000000003,2
0.544,6.359,2
1.601,7.58,2
3.117,2.5839999999999996,2
2.811,4.722,2
0.43,4.275,2
0.575,6.454,2
2.567,3.668,2
3.169,8.82,2
1.255,8.013,2
0.378,4.724,2
0.647,7.122,2
1.905,7.8919999999999995,2
2.268,3.442,2
2.935,3.748,2
3.154,6.232,2
1.347,3.271,2
2.537,3.457,2
2.216,3.335,2
3.173,1.7269999999999999,2
2.107,8.056,2
-3.052,11.834,3
-2.743,8.906,3
-3.712,11.497,3
-3.868,9.838,3
-1.85,9.019,3
-4.013,10.763,3
-1.402,11.239,3
-1.818,11.781,3
-2.185,11.877,3
-3.885,11.01,3
-3.66,9.377,3
-1.782,11.699,3
-1.584,9.358,3
-3.224,9.114,3
-2.296,8.904,3
-3.034,8.945,3
-1.45,11.515,3
-3.288,11.737,3
-4.147,10.788,3
-3.463,9.251,3
-1.499,11.344,3
-1.266,10.913,3
-2.741,11.898,3
-3.037,11.8,3
-4.05,10.986,3
-1.238,9.497,3
-1.427,9.416,3
-3.766,9.719,3
-1.152,10.686,3
-3.701,11.239,3
-3.981,10.737,3
-3.407,11.614,3
-2.249,11.882,3
-2.893,8.966,3
-1.369,11.26,3
-3.768,9.673,3
-1.044,9.862,3
-3.949,9.719,3
-4.06,10.531,3
-2.182,11.855,3
-3.022,9.03,3
-1.728,11.566,3
-3.111,9.076,3
-2.749,11.885,3
-3.974,10.813,3
-1.676,9.303,3
-4.074,10.088,3
-1.44,11.364,3
-1.076,10.348,3
-1.118,10.14,3
-1.511,11.515,3
-3.012,11.81,3
-3.161,8.99,3
-0.997,10.505,3
-2.012,11.834,3
-1.751,11.737,3
-3.867,9.79,3
-1.518,9.339,3
-1.839,9.156,3
-2.282,11.889,3
-3.88,9.673,3
-1.052,10.788,3
-1.479,11.442,3
-1.194,11.058,3
-3.584,9.202,3
-1.526,9.234,3
-4.072,10.763,3
-1.886,11.686,3
-3.12,9.052,3
-2.413,11.898,3
-1.177,9.65,3
-2.246,8.911,3
-2.372,11.877,3
-3.817,11.303,3
-4.144,10.217,3
-3.103,11.737,3
-3.921,11.239,3
-2.732,8.928,3
-3.364,9.128,3
-1.058,10.635,3
-3.895,10.217,3
-3.056,9.03,3
-3.702,9.605,3
-3.512,9.268,3
-4.076,10.635,3
-1.049,10.165,3
-4.054,10.348,3
-1.911,9.0,3
-3.894,9.605,3
-3.906,10.374,3
-3.553,9.303,3
-1.187,10.374,3
-1.278,9.583,3
-3.898,11.239,3
-1.114,10.737,3
-3.957,10.4,3
-3.919,9.987,3
-2.181,11.81,3
-1.321,9.719,3
-3.871,11.104,3
-3.004,11.855,3
-3.893,9.887,3
-3.864,9.627,3
-1.765,11.629,3
-1.174,9.583,3
-3.295,11.699,3
-1.681,11.672,3
-2.807,11.867,3
-3.83,11.195,3
-2.394,11.899,3
